,German,English
0,"die Ansage, -n",announcement
1,der Anschluss,connection
2,der Anschluss,connection
5,"die Antwort, -en",answer
6,"die Anzeige, -n",advert
8,"das Apartment, -s",apartment
9,"der Apfel, -Ä",apple
10,der Appetit,…
12,"die Arbeit, -en",work
14,"der Arbeitsplatz, -ä, e",workplace
15,"der Arm, -e",arm
16,"der Arzt, -Ä, e",doctor
21,"die Aufgabe, -n",task
27,"der Aufzug, -ü, e",lift
28,"das Auge, -n",eye
30,der Ausflug,excursion
32,der Ausgang,exit
33,"die Auskunft, -ü, e",information/details
34,das Ausland,abroad/overseas
35,"der Ausländer, -",foreigner
38,"die Aussage, -n",statement
43,der Ausweis,identity card
46,"das Auto, -s",car
47,"die Autobahn, -en",motorway
48,der Automat,machine
50,"das Baby, -s",baby
51,die Bäckerei,bakery
52,das Bad,bathroom
54,die Bahn,train
55,die Bahn,train
56,der Bahnhof,train station
57,der Bahnsteig,platform
59,der Balkon,balcony
60,"die Banane, -n",banana
61,die Bank,bank
62,die Bank,bench
64,der Bauch,stomach
65,"der Baum, -ä, e",tree
66,"der Beamte, -n",official
75,"das Bein, -e",leg
76,"das Beispiel, -e",example
84,"der Beruf, -e",profession
85,"der Beruf, -e",occupation
94,"das Bett, -en",bed
96,das Bier,beer
97,"das Bild, -er",picture
99,"die Birne, -n",pear
105,"die Bitte, -n",request
110,"der Bleistift, -e",pencil
111,der Blick,view
112,"die Blume, -n",flower
113,der Bogen,sheet
117,"der Brief, -e",letter
118,"die Briefmarke, -n",(postage) stamp
121,"das Brot, -e",bread
122,"das Brot, -e",bread roll
123,"das Brötchen, –",bread roll
124,"der Bruder, -ü",brother
125,"das Buch, -ü, er",book
126,"das Wörterbuch, -ü, er",dictionary
127,"der Buchstabe, -n",letter (character)
129,"der Bus, -se",bus
130,die Butter,butter
131,"das Café, -s",cafe
132,"die CD, -s",CD
133,der Chef,boss
135,"der Computer, –",computer
140,"die Dame, -n",lady
141,"die Dame, -n",lady
144,der Dank,thanks
145,der Dank,thanks
148,das Datum,date
